Ticekr,Date,Open,High,Low,Close,Adj Close,Volume
AAPL,28/03/2012,88.339996,88.778572,87.187141,88.23143,76.770241,163865100
AAPL,29/03/2012,87.540001,88.080002,86.747147,87.122856,75.805679,152059600
AAPL,30/03/2012,86.96714,87.222855,85.419998,85.650002,74.524162,182759500
AAPL,2/04/2012,85.975716,88.395714,85.76857,88.375717,76.895775,149587900
AAPL,3/04/2012,89.614288,90.315712,88.93,89.902855,78.224541,208639900
AAPL,4/04/2012,89.192856,89.408569,88.14286,89.187141,77.601814,143245200
AAPL,5/04/2012,89.568573,90.665718,89.057144,90.525711,78.76651,160324500
AAPL,9/04/2012,89.447144,91.405716,89.328575,90.889999,79.083466,149384200
AAPL,10/04/2012,91.418571,92,89.428574,89.777145,78.115189,222431300
AAPL,11/04/2012,90.885712,90.98143,89.048569,89.457146,77.836761,174153700
AAPL,12/04/2012,89.285713,90.190002,88.64286,88.96714,77.410393,153584200
AAPL,13/04/2012,89.158569,89.242859,86.215714,86.461426,75.230179,214911200
AAPL,16/04/2012,87.151428,87.182854,82.60714,82.875717,72.110222,262696700
AAPL,17/04/2012,82.705711,87.14286,81.701431,87.099998,75.785782,256382000
AAPL,18/04/2012,87.674286,88.60714,86.101425,86.905716,75.616753,238632800
AAPL,19/04/2012,85.745712,86.389999,83.502853,83.919998,73.01889,208679800
AAPL,20/04/2012,84.482857,84.945717,81.488571,81.854286,71.221497,257746300
AAPL,23/04/2012,81.515717,82.381432,79.517143,81.671425,71.062386,241632300
AAPL,24/04/2012,80.372856,81.098572,79.285713,80.040001,69.642883,269037300
AAPL,25/04/2012,87.94857,88.285713,86.571426,87.14286,75.823074,226444400
AAPL,26/04/2012,87.752853,87.812859,86.01857,86.814285,75.537201,134017100
AAPL,27/04/2012,86.438568,86.597145,85.785713,86.14286,74.952972,101680600
AAPL,30/04/2012,85.400002,85.485718,83.285713,83.425713,72.588791,126536200
AAPL,1/05/2012,83.557144,85.251427,83.03286,83.16143,72.358841,152749800
AAPL,2/05/2012,82.891426,83.914284,82.694283,83.711426,72.837395,106847300
AAPL,3/05/2012,84.35714,84.485718,82.900002,83.117142,72.32029,97637400
AAPL,4/05/2012,82.440002,82.622856,80.738571,80.75,70.260635,132498100
AAPL,7/05/2012,80.214287,81.824287,80.175713,81.354286,70.786446,115029600
AAPL,8/05/2012,81.368568,81.64286,79.818573,81.168571,70.624855,124313000
AAPL,9/05/2012,80.528572,81.997147,80.121429,81.311432,70.749161,120176000
AAPL,10/05/2012,82.082855,82.26857,81.205711,81.502853,70.915718,83300000
AAPL,11/05/2012,80.714287,82.067146,80.621429,80.958572,70.442146,99886500
AAPL,14/05/2012,80.367142,81.072861,79.657143,79.745712,69.386826,88156600
AAPL,15/05/2012,80.207146,80.459999,78.821426,79.024284,68.759087,119084000
AAPL,16/05/2012,79.150002,79.555717,77.291428,78.011429,67.877823,140224000
AAPL,17/05/2012,77.901428,78.214287,75.73143,75.73143,65.89399,179305000
AAPL,18/05/2012,76.279999,77.629997,74.597145,75.76857,65.926308,183073100
AAPL,21/05/2012,76.35714,80.220001,76.292854,80.182854,69.767181,157776500
AAPL,22/05/2012,81.364288,81.982857,78.940002,79.567146,69.231438,173717600
AAPL,23/05/2012,79.64286,81.828575,79.03286,81.508568,70.920677,146224400
AAPL,24/05/2012,82.267143,82.35714,80.175713,80.760002,70.269348,124057500
AAPL,25/05/2012,80.655716,80.835716,79.781425,80.327141,69.892731,82126800
AAPL,29/05/2012,81.557144,82,80.758568,81.752853,71.13324,95127200
AAPL,30/05/2012,81.314285,82.855713,80.937141,82.738571,71.990906,132357400
AAPL,31/05/2012,82.96286,83.071426,81.637146,82.53286,71.811905,122918600
AAPL,1/06/2012,81.308571,81.807144,80.074287,80.141426,69.73114,130246900
AAPL,4/06/2012,80.214287,81.071426,78.35714,80.612854,70.141327,139248900
AAPL,5/06/2012,80.181427,80.924286,79.761429,80.404289,69.959854,97053600
AAPL,6/06/2012,81.110001,81.978569,80.785713,81.637146,71.032585,100363900
AAPL,7/06/2012,82.470001,82.474289,81.5,81.674286,71.06488,94941700
AAPL,8/06/2012,81.657143,82.940002,81.285713,82.902855,72.133842,86879100
AAPL,11/06/2012,83.959999,84.071426,81.51857,81.595711,70.996506,147816200
AAPL,12/06/2012,82.065712,82.374283,80.957146,82.308571,71.616745,108845100
AAPL,13/06/2012,82.074287,82.639999,81.482857,81.737144,71.11953,73395000
AAPL,14/06/2012,81.605713,81.928574,81.03714,81.647141,71.04126,86393300
AAPL,15/06/2012,81.571426,82.08857,81.364288,82.01857,71.364433,83813800
AAPL,18/06/2012,81.565712,83.984283,81.48143,83.682854,72.812531,110103000
AAPL,19/06/2012,83.342857,84.285713,83.300003,83.915718,73.015144,90351100
AAPL,20/06/2012,84.029999,84.178574,82.971428,83.677139,72.807579,89735800
AAPL,21/06/2012,83.634285,84.031425,82.491432,82.524284,71.804474,81587800
AAPL,22/06/2012,82.720001,83.169998,82.202858,83.157143,72.355103,71117900
AAPL,25/06/2012,82.471428,82.828575,81.48143,81.538574,70.946785,76095600
AAPL,26/06/2012,81.618568,82.07,81.047142,81.718575,71.103401,69134100
AAPL,27/06/2012,82.14286,82.391426,81.702858,82.071426,71.410423,50749300
AAPL,28/06/2012,81.667145,82,80.80143,81.292854,70.732979,70709100
AAPL,29/06/2012,82.571426,83.428574,82.035713,83.428574,72.591286,105375200
AAPL,2/07/2012,83.53286,84.781425,83.371429,84.645714,73.650322,100023000
AAPL,3/07/2012,84.982857,85.714287,84.85714,85.629997,74.506752,60428200
AAPL,5/07/2012,85.794289,87.762856,85.664284,87.134285,75.81562,121095800
AAPL,6/07/2012,86.727142,86.919998,85.940002,86.554283,75.310966,104732600
AAPL,9/07/2012,86.471428,87.699997,86.30143,87.69857,76.306618,94851400
AAPL,10/07/2012,88.281425,88.552856,86.472855,86.887146,75.600586,127989400
AAPL,11/07/2012,86.58857,86.808571,85.317146,86.347145,75.13073,117330500
AAPL,12/07/2012,85.748573,86.209999,84.668571,85.557144,74.443336,107010400
AAPL,13/07/2012,86.135712,86.741432,85.714287,86.424286,75.197861,77856800
AAPL,16/07/2012,86.445717,87.374283,86.431427,86.701431,75.439003,75315100
AAPL,17/07/2012,87.255714,87.35714,86.164284,86.705711,75.442734,73406200
AAPL,18/07/2012,86.655716,86.905716,86.222855,86.608574,75.358215,63175000
AAPL,19/07/2012,87.325714,87.907143,86.571426,87.760002,76.360062,109215400
AAPL,20/07/2012,87.575714,87.777145,86.242859,86.328575,75.114601,99367800
AAPL,23/07/2012,84.914284,86.557144,83.958572,86.261429,75.056145,121993900
AAPL,24/07/2012,86.76857,87.097145,85.501427,85.845711,74.694458,141283100
AAPL,25/07/2012,82.065712,82.971428,81.428574,82.138573,71.468849,219328200
AAPL,26/07/2012,82.822861,82.914284,81.480003,82.125717,71.457657,101658200
AAPL,27/07/2012,82.144287,83.690002,81.655716,83.594284,72.735458,100984100
AAPL,30/07/2012,84.417145,85.634285,83.974289,85.004288,73.962311,94785600
AAPL,31/07/2012,86.175713,87.385712,86.102859,87.251427,75.917549,115581900
